Country,File_Name
Afghanistan,Flag of Afghanistan.gif
Albania,Flag of Albania.gif
Algeria,Flag of Algeria.gif
American Samoa,Flag of American Samoa.gif
Andorra,Flag of Andorra.gif
Angola,Flag of Angola.gif
Anguilla,Flag of Anguilla.gif
Antigua and Barbuda,Flag of Antigua and Barbuda.gif
Argentina,Flag of Argentina.gif
Armenia,Flag of Armenia.gif
Aruba,Flag of Aruba.gif
Australia,Flag of Australia.gif
Austria,Flag of Austria.gif
Azerbaijan,Flag of Azerbaijan.gif
Bahamas,Flag of Bahamas.gif
Bahrain,Flag of Bahrain.gif
Bangladesh,Flag of Bangladesh.gif
Barbados,Flag of Barbados.gif
Belarus,Flag of Belarus.gif
Belgium,Flag of Belgium.gif
Belize,Flag of Belize.gif
Benin,Flag of Benin.gif
Bermuda,Flag of Bermuda.gif
Bhutan,Flag of Bhutan.gif
Bolivia,Flag of Bolivia.gif
Bosnia and Herzegovina,Flag of Bosnia and Herzegovina.gif
Botswana,Flag of Botswana.gif
Bouvet Island,Flag of Bouvet Island.gif
Brazil,Flag of Brazil.gif
British Indian Ocean Territory,Flag of British Indian Ocean Territory.gif
British Virgin Islands,Flag of British Virgin Islands.gif
Brunei,Flag of Brunei.gif
Bulgaria,Flag of Bulgaria.gif
Burkina Faso,Flag of Burkina Faso.gif
Burundi,Flag of Burundi.gif
Cambodia,Flag of Cambodia.gif
Cameroon,Flag of Cameroon.gif
Canada,Flag of Canada.gif
Cape Verde,Flag of Cape Verde.gif
Cayman Islands,Flag of Cayman Islands.gif
Central African Republic,Flag of Central African Republic.gif
Chad,Flag of Chad.gif
Chile,Flag of Chile.gif
China,Flag of China.gif
Christmas Island,Flag of Christmas Island.gif
Colombia,Flag of Colombia.gif
Comoros,Flag of Comoros.gif
Republic of the Congo,Flag of Republic of the Congo.gif
Cook Islands,Flag of Cook Islands.gif
Costa Rica,Flag of Costa Rica.gif
Croatia,Flag of Croatia.gif
Cuba,Flag of Cuba.gif
Cyprus,Flag of Cyprus.gif
Czech Republic,Flag of Czech Republic.gif
Democratic Republic of the Congo,Flag of Democratic Republic of the Congo.gif
Denmark,Flag of Denmark.gif
Djibouti,Flag of Djibouti.gif
Dominica,Flag of Dominica.gif
Dominican Republic,Flag of Dominican Republic.gif
Ecuador,Flag of Ecuador.gif
Egypt,Flag of Egypt.gif
El Salvador,Flag of El Salvador.gif
Equatorial Guinea,Flag of Equatorial Guinea.gif
Eritrea,Flag of Eritrea.gif
Estonia,Flag of Estonia.gif
Eswatini,Flag of Eswatini.gif
Ethiopia,Flag of Ethiopia.gif
Falkland Islands,Flag of Falkland Islands.gif
Faroe Islands,Flag of Faroe Islands.gif
Fiji,Flag of Fiji.gif
Finland,Flag of Finland.gif
France,Flag of France.gif
French Polynesia,Flag of French Polynesia.gif
Gabon,Flag of Gabon.gif
Gambia,Flag of Gambia.gif
Georgia,Flag of Georgia.gif
Germany,Flag of Germany.gif
Ghana,Flag of Ghana.gif
Gibraltar,Flag of Gibraltar.gif
Greece,Flag of Greece.gif
Greenland,Flag of Greenland.gif
Grenada,Flag of Grenada.gif
Guam,Flag of Guam.gif
Guatemala,Flag of Guatemala.gif
Guernsey,Flag of Guernsey.gif
Guinea,Flag of Guinea.gif
Guinea-Bissau,Flag of Guinea-Bissau.gif
Guyana,Flag of Guyana.gif
Haiti,Flag of Haiti.gif
Honduras,Flag of Honduras.gif
Hong Kong,Flag of Hong Kong.gif
Hungary,Flag of Hungary.gif
Iceland,Flag of Iceland.gif
India,Flag of India.gif
Indonesia,Flag of Indonesia.gif
Iran,Flag of Iran.gif
Iraq,Flag of Iraq.gif
Ireland,Flag of Ireland.gif
Isle of Man,Flag of Isle of Man.gif
Israel,Flag of Israel.gif
Italy,Flag of Italy.gif
Jamaica,Flag of Jamaica.gif
Japan,Flag of Japan.gif
Jersey,Flag of Jersey.gif
Jordan,Flag of Jordan.gif
Kazakhstan,Flag of Kazakhstan.gif
Kenya,Flag of Kenya.gif
Kiribati,Flag of Kiribati.gif
Kuwait,Flag of Kuwait.gif
Kyrgyzstan,Flag of Kyrgyzstan.gif
Laos,Flag of Laos.gif
Latvia,Flag of Latvia.gif
Lebanon,Flag of Lebanon.gif
Lesotho,Flag of Lesotho.gif
Liberia,Flag of Liberia.gif
Libya,Flag of Libya.gif
Liechtenstein,Flag of Liechtenstein.gif
Lithuania,Flag of Lithuania.gif
Luxembourg,Flag of Luxembourg.gif
Madagascar,Flag of Madagascar.gif
Malawi,Flag of Malawi.gif
Malaysia,Flag of Malaysia.gif
Maldives,Flag of Maldives.gif
Mali,Flag of Mali.gif
Malta,Flag of Malta.gif
Marshall Islands,Flag of Marshall Islands.gif
Mauritania,Flag of Mauritania.gif
Mauritius,Flag of Mauritius.gif
Mayotte,Flag of Mayotte.gif
Mexico,Flag of Mexico.gif
Micronesia,Flag of Micronesia.gif
Moldova,Flag of Moldova.gif
Monaco,Flag of Monaco.gif
Mongolia,Flag of Mongolia.gif
Montenegro,Flag of Montenegro.gif
Montserrat,Flag of Montserrat.gif
Morocco,Flag of Morocco.gif
Mozambique,Flag of Mozambique.gif
Myanmar,Flag of Myanmar.gif
Namibia,Flag of Namibia.gif
Nauru,Flag of Nauru.gif
Nepal,Flag of Nepal.gif
Netherlands,Flag of Netherlands.gif
New Caledonia,Flag of New Caledonia.gif
New Zealand,Flag of New Zealand.gif
Nicaragua,Flag of Nicaragua.gif
Niger,Flag of Niger.gif
Nigeria,Flag of Nigeria.gif
Niue,Flag of Niue.gif
Norfolk Island,Flag of Norfolk Island.gif
North Korea,Flag of North Korea.gif
North Macedonia,Flag of North Macedonia.gif
Northern Mariana Islands,Flag of Northern Mariana Islands.gif
Norway,Flag of Norway.gif
Oman,Flag of Oman.gif
Pakistan,Flag of Pakistan.gif
Palau,Flag of Palau.gif
Panama,Flag of Panama.gif
Papua New Guinea,Flag of Papua New Guinea.gif
Paraguay,Flag of Paraguay.gif
Peru,Flag of Peru.gif
Philippines,Flag of Philippines.gif
Pitcairn Islands,Flag of Pitcairn Islands.gif
Poland,Flag of Poland.gif
Portugal,Flag of Portugal.gif
Puerto Rico,Flag of Puerto Rico.gif
Qatar,Flag of Qatar.gif
Romania,Flag of Romania.gif
Russia,Flag of Russia.gif
Rwanda,Flag of Rwanda.gif
Samoa,Flag of Samoa.gif
San Marino,Flag of San Marino.gif
Saudi Arabia,Flag of Saudi Arabia.gif
Senegal,Flag of Senegal.gif
Serbia,Flag of Serbia.gif
Seychelles,Flag of Seychelles.gif
Sierra Leone,Flag of Sierra Leone.gif
Singapore,Flag of Singapore.gif
Slovakia,Flag of Slovakia.gif
Slovenia,Flag of Slovenia.gif
Solomon Islands,Flag of Solomon Islands.gif
Somalia,Flag of Somalia.gif
South Africa,Flag of South Africa.gif
South Korea,Flag of South Korea.gif
Spain,Flag of Spain.gif
Sri Lanka,Flag of Sri Lanka.gif
Sudan,Flag of Sudan.gif
Suriname,Flag of Suriname.gif
Sweden,Flag of Sweden.gif
Switzerland,Flag of Switzerland.gif
Syria,Flag of Syria.gif
Taiwan,Flag of Taiwan.gif
Tajikistan,Flag of Tajikistan.gif
Tanzania,Flag of Tanzania.gif
Thailand,Flag of Thailand.gif
Timor-Leste,Flag of Timor-Leste.gif
Togo,Flag of Togo.gif
Tokelau,Flag of Tokelau.gif
Tonga,Flag of Tonga.gif
Trinidad and Tobago,Flag of Trinidad and Tobago.gif
Tunisia,Flag of Tunisia.gif
Turkey,Flag of Turkey.gif
Turkmenistan,Flag of Turkmenistan.gif
Turks and Caicos Islands,Flag of Turks and Caicos Islands.gif
Tuvalu,Flag of Tuvalu.gif
Uganda,Flag of Uganda.gif
Ukraine,Flag of Ukraine.gif
United Arab Emirates,Flag of United Arab Emirates.gif
United Kingdom,Flag of United Kingdom.gif
United States,Flag of United States.gif
Uruguay,Flag of Uruguay.gif
Uzbekistan,Flag of Uzbekistan.gif
Vanuatu,Flag of Vanuatu.gif
Venezuela,Flag of Venezuela.gif
Vietnam,Flag of Vietnam.gif
Yemen,Flag of Yemen.gif
Zambia,Flag of Zambia.gif
Zimbabwe,Flag of Zimbabwe.gif
